ID,Text,label
0,ca n't shake constant sens hopeless .,Depression
1,'m constant second-guess decis .,Anxiety Disorder
2,"'m feel physic unwel , know 's .",Depression
3,'m desper escap overwhelm fear .,Panic Disorder
4,'s hard describ sensat trap fear .,Panic Disorder
5,"'m avoid trigger prevent panic , 's isol .",Panic Disorder
6,"chest feel tight , 'm struggl breath .",Panic Disorder
7,"day , feel like 'm carri heavi weight 's hard explain .",Depression
8,'m overanalyz everi social interact .,Anxiety Disorder
9,tri navig convers emot run high .,Anger/ Intermittent Explosive Disorder
10,challeng find way handl power emot reaction .,Depression
11,'m worri anger drive peopl away .,Anger/ Intermittent Explosive Disorder
12,"even want remain calm , emot surg unexpect .",Depression
13,feel like 'm stuck cycl perpetu worri .,Anxiety Disorder
14,feel like 'm alway verg explod .,Anger/ Intermittent Explosive Disorder
15,expect other admir tast choic .,Narcissistic Disorder
16,wish could manag anger better .,Anger/ Intermittent Explosive Disorder
17,'m afraid anger lead lose import relationship .,Anger/ Intermittent Explosive Disorder
18,'m worri peopl see facad confid .,Anxiety Disorder
19,often interrupt convers redirect attent .,Narcissistic Disorder
20,"even want remain calm , emot surg unexpect .",Anger/ Intermittent Explosive Disorder
21,wish better control reaction 'm angri .,Anger/ Intermittent Explosive Disorder
22,feel like 'm disappoint everyon care .,Depression
23,'m overwhelm constant chatter anxious thought .,Anxiety Disorder
24,"tri catch breath , even 'm physic run .",Panic Disorder
25,'m consum need perfect avoid mistak .,Anxiety Disorder
26,tri balanc intens emot desir harmoni .,Anger/ Intermittent Explosive Disorder
27,"even want stay calm , emot flare unexpect .",Anger/ Intermittent Explosive Disorder
28,'m trembl shake uncontrol .,Panic Disorder
29,tri express viewpoint blend self-assured empathi .,Narcissistic Disorder
30,feel like 'm trap maze negat thought feel .,Depression
31,"matter , ca n't escap feel .",Depression
32,feel like anger barrier intimaci connect .,Anger/ Intermittent Explosive Disorder
33,"even crowd , feel alon , isol thought .",Depression
34,feel like presenc elev situat .,Narcissistic Disorder
35,'s hard describ allur admir envi .,Narcissistic Disorder
36,'m alway anticip next sourc stress .,Anxiety Disorder
37,'s like mind magnet thing could go wrong .,Anxiety Disorder
38,"allur success irresist , 'm determin achiev .",Narcissistic Disorder
39,tri find small moment joy amidst overal struggl .,Depression
40,tri find motiv world often feel colorless .,Depression
41,"'m best everyth , one compar .",Narcissistic Disorder
42,'m avoid situat might trigger panic .,Panic Disorder
43,feel like 'm navig world uncertainti doubt .,Anxiety Disorder
44,feel like 'm carri heavi burden 's invis everyon els .,Depression
45,'m convinc other honor know .,Narcissistic Disorder
46,'m constant battl thought .,Depression
47,'s hard describ inner convict 'm deserv great .,Narcissistic Disorder
48,"feel like 'm constant scan sign troubl , even 's none .",Anxiety Disorder
49,wish could find healthier way cope anger .,Anger/ Intermittent Explosive Disorder
50,"weight emot overwhelm , even re unspoken .",Depression
51,feel like presenc alon elev situat .,Narcissistic Disorder
52,expect peopl valid emot experi .,Narcissistic Disorder
53,'m lose interest everyth use enjoy .,Depression
54,feel like 'm constant tug-of-war worri desir peac .,Anxiety Disorder
55,feel entitl best everyth .,Narcissistic Disorder
56,'m constant berat perceiv failur .,Depression
57,'m terrifi unpredict panic .,Panic Disorder
58,'m convinc other awe .,Narcissistic Disorder
59,'m feel like 'm nightmar ca n't wake .,Panic Disorder
60,"'m lose touch realiti , 's overwhelm .",Panic Disorder
61,'m terrifi abl escap attack .,Panic Disorder
62,"feel like 'm walk tightrop , alway teeter edg .",Depression
63,"emot intens confus , even .",Depression
64,'m tire feel like prison anger .,Anger/ Intermittent Explosive Disorder
65,"loneli suffoc , even room full peopl .",Depression
66,"feel like 'm live behind mask , hide pain .",Depression
67,n't think anyon would even notic 'm gone .,Depression
68,tri find outlet emot energi wo n't caus harm .,Depression
69,challeng find way communic emot without overwhelm other .,Anger/ Intermittent Explosive Disorder
70,'m experienc sens unreal attack .,Panic Disorder
71,'m struggl find sens purpos .,Depression
72,'m constant worri 'm miss someth import .,Anxiety Disorder
73,pressur manag strong emot exhaust .,Depression
74,deserv special treatment 'm except .,Narcissistic Disorder
75,"'s like cloud dark hang , affect perspect .",Depression
76,'m lose sleep thing may never happen .,Anxiety Disorder
77,"even safeti space , fear make heart race .",Panic Disorder
78,"fear make mistak paralyz , leav frozen place .",Anxiety Disorder
79,expect peopl cater need .,Narcissistic Disorder
80,tri find moment peac mind 's turmoil .,Depression
81,'s hard describ sensat trap cycl worri .,Anxiety Disorder
82,'s like 'm tri navig maze strong emot .,Anger/ Intermittent Explosive Disorder
83,'m struggl find healthi way express frustrat .,Anger/ Intermittent Explosive Disorder
84,"sensat dread wash wave , unbidden .",Panic Disorder
85,'m push peopl away feel unworthi love .,Depression
86,feel like ca n't escap grip anxieti .,Anxiety Disorder
87,"even moment doubt , know uniqu perspect .",Narcissistic Disorder
88,tri find way stop thought race everi direct .,Anxiety Disorder
89,"even moment joy , 's persist shadow lurk .",Depression
90,need constant valid approv other .,Narcissistic Disorder
91,feel like 'm stuck loop dread wo n't let go .,Panic Disorder
92,pursuit success drive forc push forward .,Narcissistic Disorder
93,tri find way navig world feel uncertain scari .,Anxiety Disorder
94,'m experienc physic pain match emot pain .,Depression
95,fear control make even routin situat feel daunt .,Anxiety Disorder
96,"thought race , ca n't calm .",Panic Disorder
97,wish could find way communic without resort anger .,Anger/ Intermittent Explosive Disorder
98,'m struggl explain panic other .,Panic Disorder
99,"sometim , smallest decis feel like carri weight world .",Anxiety Disorder
100,'m convinc opinion alway insight .,Narcissistic Disorder
101,"even 's immedi danger , fear still consum .",Panic Disorder
102,"'s hard explain battl happen within , day day .",Depression
103,"'s like mind theater , play potenti danger repeat .",Anxiety Disorder
104,tri navig life thought feel like maze ca n't escap .,Anxiety Disorder
105,tri express self-assured uplift other .,Narcissistic Disorder
106,'m constant anticip next panic attack .,Panic Disorder
107,"bodi react danger immin , even safe situat .",Panic Disorder
108,challeng defus intens emot escal .,Anger/ Intermittent Explosive Disorder
109,'s hard futur feel uncertain scari .,Depression
110,n't see futur .,Depression
111,"'s like 's storm insid , 'm tri find calm .",Anger/ Intermittent Explosive Disorder
112,'m worri impact anxieti relationship .,Anxiety Disorder
113,"'s like 'm constant wait someth go wrong , even n't .",Panic Disorder
